MONTH,AIRCRAFT FLOWN - DEPARTURES (NOS.),AIRCRAFT FLOWN - HOURS (NOS.),AIRCRAFT FLOWN - KMS. (THOUSANDS),PASSENGERS - CARRIED (NOS.),PASSENGERS - KMS.PERFORMED (MILLION),AVAILABLE SEAT KILOMETERS (MILLION),PAX. LOAD FACTOR (%),CARGO CARRIED (TON) - FREIGHT,CARGO CARRIED (TON) - MAIL,CARGO CARRIED (TON) - TOTAL,TON KMS. PERFORMED (MILLION) - PAX.,TON KMS. PERFORMED (MILLION) - FREIGHT,TON KMS. PERFORMED (MILLION) - MAIL,TON KMS. PERFORMED (MILLION) - TOTAL,AVAILABLE TONNE KILOMETERS (MILLION),WEIGHT LOAD FACTOR (%)
JAN,1907,3068,1512,239705,202,237,85.4,1075,153,1228,16.8,1.1,0.1,18,22.9,78.8
FEB,1706,2765,1340,214665,179,210,84.9,1053,148,1201,15,1.1,0.1,16.2,20.6,78.7
MAR,1975,3148,1535,230359,190,240,79.2,1252,167,1419,15.9,1.2,0.1,17.3,23.9,72.2
APR,2124,3432,1723,240818,211,270,78.3,1067,117,1184,17.6,1,0.1,18.7,26.8,69.7
MAY,2172,3576,1776,254309,226,279,80.9,1370,126,1496,18.7,1.4,0.1,20.2,27.4,73.8
JUN,2086,3388,1689,226769,199,265,75.2,1333,117,1450,16.6,1.3,0.1,18,25.5,70.5
JUL,2033,3393,1704,238924,216,267,80.9,1393,107,1500,18.1,1.5,0.1,19.7,25.8,76.3
AUG,2021,3332,1694,234241,210,267,78.9,1396,116,1512,17.6,1.5,0.1,19.2,25.9,74.1
SEP,1734,2884,1506,198098,186,241,77.5,1344,109,1453,15.7,1.5,0.1,17.3,23.7,72.8
OCT,1989,3234,1684,209117,188,264,71.1,1645,144,1789,15.7,1.7,0.1,17.6,26.3,66.9
NOV,1942,3136,1556,217905,181,243,74.6,1197,140,1337,15.2,1.2,0.1,16.5,23.7,69.7
DEC,1970,3144,1551,246132,207,242,85.7,1245,156,1401,17.3,1.2,0.1,18.6,23.8,78.4
