MONTH,AIRCRAFT FLOWN - DEPARTURES (NOS.),AIRCRAFT FLOWN - HOURS (NOS.),AIRCRAFT FLOWN - KMS. (THOUSANDS),PASSENGERS - CARRIED (NOS.),PASSENGERS - KMS.PERFORMED (MILLION),AVAILABLE SEAT KILOMETERS (MILLION),PAX. LOAD FACTOR (%),CARGO CARRIED (TON) - FREIGHT,CARGO CARRIED (TON) - MAIL,CARGO CARRIED (TON) - TOTAL,TON KMS. PERFORMED (MILLION) - PAX.,TON KMS. PERFORMED (MILLION) - FREIGHT,TON KMS. PERFORMED (MILLION) - MAIL,TON KMS. PERFORMED (MILLION) - TOTAL,AVAILABLE TONNE KILOMETERS (MILLION),WEIGHT LOAD FACTOR (%)
JAN,621,875,279,33031,15,20,74.8,0,0,0,1.4,0,0,1.4,2,72.5
FEB,701,971,309,38779,17,22,77,0,0,0,1.7,0,0,1.7,2.2,75.3
MAR,758,1055,331,41219,18,24,76,0,0,0,1.8,0,0,1.8,2.4,74.3
APR,588,836,264,32830,15,19,78.1,0,0,0,1.4,0,0,1.4,1.9,76
MAY,719,1024,319,40842,18,23,80.7,0,0,0,1.8,0,0,1.8,2.3,77.9
JUN,598,833,268,34524,16,19,81,0,0,0,1.5,0,0,1.5,1.9,78.5
JUL,523,726,228,29327,13,16,79.4,0,0,0,1.2,0,0,1.2,1.6,74
AUG,559,726,238,30534,13,17,77.7,0,0,0,1.3,0,0,1.3,1.7,75.5
SEP,619,706,270,32677,15,19,75.6,0,0,0,1.4,0,0,1.4,1.9,74.2
OCT,728,1012,320,39022,17,23,75.8,0,0,0,1.7,0,0,1.7,2.3,73.3
NOV,709,1009,316,40965,18,23,81.2,0,0,0,1.8,0,0,1.8,2.3,79.3
DEC,550,817,264,31059,15,19,79.1,0,0,0,1.4,0,0,1.4,1.9,76.7
